"model_instance","model","dataset","prompt_mode","engine","seed","speedup_vs_no_cache_mean","speedup_vs_no_cache_p95","energy_reduction_vs_no_cache_pct","idle_adjusted_energy_reduction_vs_no_cache_pct","hit_rate","reuse_successes","reused_prefix_tokens_total","wasted_compute_ratio","source_json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv","42","1.00002416381312","1.00045439166522","-0.513533304426605","0.526380718525374","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\daily_dialog\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv_plus","42","1.11471244880598","1.22987062338887","15.7784117775887","18.4888334113587","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\daily_dialog\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv","123","1.07226479521505","1.06044245107909","-3.58433935638693","-2.8405307870081","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\daily_dialog\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv_plus","123","1.16627878983072","1.23663268572707","8.07584056476781","14.8388733389595","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\daily_dialog\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv","456","1.03621823044614","1.01733883680706","7.41739068106881","2.78681035770119","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\daily_dialog\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv_plus","456","1.17373055932963","1.26070666168542","19.7486267456222","16.2742744321274","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\daily_dialog\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv","789","1.03808811281322","1.01875273224421","0.389736455529235","-1.08780383996025","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\daily_dialog\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv_plus","789","1.06683859369286","1.16634128611645","15.7085550953578","20.0083027638422","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\daily_dialog\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv","999","1.01520280106849","1.04187252477787","6.29196665334234","-2.91668693063825","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\daily_dialog\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","daily_dialog","semantic","shadow_kv_plus","999","1.17571253607556","1.25404784290955","12.1855203880093","15.9367718133836","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\daily_dialog\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv","42","1.00082569237935","1.00569708142628","0.700625036865903","0.710373865189318","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\dolly\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv_plus","42","1.12813741572438","1.273678982707","15.4886478717904","16.6457389325728","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\dolly\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv","123","1.02011502541573","1.0609410660139","-3.94336298487867","1.0584492390537","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\dolly\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv_plus","123","1.20845309177566","1.32762279251453","20.3430250004901","13.4861391133043","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\dolly\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv","456","0.984999965026731","1.02393514121993","1.40245591376805","-3.06370732309625","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\dolly\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv_plus","456","1.11928996316639","1.32292422538148","16.5791061324655","9.87852625085711","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\dolly\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv","789","0.947904654980742","0.987380359012821","1.34416148171727","4.21495976722935","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\dolly\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","dolly","semantic","shadow_kv_plus","789","1.11394988176188","1.25729702594761","20.3118912459596","16.7147924957977","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\dolly\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json"
