         24895 function calls (24686 primitive calls) in 0.494 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:209(_append_policy_trace)
       35    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2207(_is_raw_fast_bypass_active)
      155    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      105    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       46    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:94(estimate_prefill_cost_ms)
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:247(store)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
       34    0.000    0.000    0.000    0.000 C:\Python314\Lib\typing.py:1583(__subclasscheck__)
      180    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:615(is_set)
       26    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:87(add_metric)
    51/49    0.001    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      135    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      2/1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:975(start)
      2/1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:651(wait)
      106    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:527(_trie_insert_unlocked)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:880(__init__)
       92    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:139(_mark_cache_active)
       14    0.000    0.000    0.000    0.000 C:\Python314\Lib\encodings\cp1252.py:18(encode)
       90    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       34    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       92    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      2/1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:337(wait)
       45    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1247(_check_background_exception)
       12    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\config_loader.py:163(reload_if_changed)
       34    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       14    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:433(_materialize_cache_for_tier)
       50    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      129    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:57(<genexpr>)
       35    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1812(_record_semantic_opportunity)
       16    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1897(_slice_prefill_kv_to_prefix)
      129    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:56(<genexpr>)
       35    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\controller.py:39(last_breakdown)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       16    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\_weakrefset.py:45(add)
       34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:552(estimate_past_key_values_bytes)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1057(_set_os_name)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1050(_set_ident)
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:602(__init__)
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:134(slice_past_key_values)
       12    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.set_name}
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:94(contains)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1054(_set_native_id)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:290(__init__)
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1835(_default_shadowkv_plus_store_tier)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:854(_newname)
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:98(estimate_kv_cache_bytes)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1308(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:322(_release_save)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:325(_acquire_restore)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:306(_device_target_for_tier)
        1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:1188(daemon)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.daemon_threads_allowed}
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    134/0    0.470    0.004    0.000          {built-in method time.sleep}



============================================================
Callers for key functions:
============================================================

Callers for _plan_for_request:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 153 to 1 due to restriction <'_plan_for_request'>

Function                                                                                        was called by...
                                                                                                    ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1729(_plan_for_request)  <-      34    0.001    0.004  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2229(serve_tokens)



Callers for _semantic_best_match:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 153 to 1 due to restriction <'_semantic_best_match'>

Function                                                                                           was called by...
                                                                                                       ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1679(_semantic_best_match)  <-      35    0.000    0.000  C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1729(_plan_for_request)



Callers for _partial_semantic_reuse:
----------------------------------------

Callers for serve_tokens:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 153 to 1 due to restriction <'serve_tokens'>

Function                                                                                   was called by...
                                                                                               ncalls  tottime  cumtime
C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2229(serve_tokens)  <-      44    0.001    0.482  {method 'acquire' of '_thread.lock' objects}



Callers for _observe_request:
----------------------------------------
   Ordered by: cumulative time
   List reduced from 153 to 2 due to restriction <'_observe_request'>

Function                                                                                       was called by...
                                                                                                   ncalls  tottime  cumtime
