engine,mode,dataset,avg_latency_ms,ref_dataset,avg_ref_latency_ms,difficulty_multiplier,is_measured,n_models_compared
sglang_radix_attention,templated,cnn_dailymail,88.77634981435683,ag_news,36.4808999416103,2.4335021876227914,False,5
sglang_radix_attention_shadowkv_plus,rag,ag_news,35.94473720723371,ag_news,35.94473720723371,1.0,True,5
sglang_radix_attention_shadowkv_plus,rag,daily_dialog,36.41678263459818,ag_news,35.94473720723371,1.0131325324384197,True,5
sglang_radix_attention_shadowkv_plus,rag,dolly,36.552773483942325,ag_news,35.94473720723371,1.016915863738357,True,5
sglang_radix_attention_shadowkv_plus,rag,samsum,38.41971366366912,ag_news,35.94473720723371,1.0688550438459552,True,5
sglang_radix_attention_shadowkv_plus,rag,xsum,45.4002162813257,ag_news,35.94473720723371,1.263056007881708,True,5
sglang_radix_attention_shadowkv_plus,rag,banking77,21.472622078381846,ag_news,22.55885059438848,0.9518491196410143,False,4
sglang_radix_attention_shadowkv_plus,rag,alpaca_eval,24.27154631650644,ag_news,22.55885059438848,1.0759212316670068,False,4
sglang_radix_attention_shadowkv_plus,rag,oasst1,24.34105351885819,ag_news,22.55885059438848,1.0790023816600405,False,4
sglang_radix_attention_shadowkv_plus,rag,ultrachat,26.145588877647896,ag_news,22.55885059438848,1.1589947266263476,False,4
sglang_radix_attention_shadowkv_plus,rag,cnn_dailymail,27.099825106323145,ag_news,22.55885059438848,1.2012945869265268,False,4
sglang_radix_attention_shadowkv_plus,templated,ag_news,35.92086132765219,ag_news,35.92086132765219,1.0,True,5
sglang_radix_attention_shadowkv_plus,templated,daily_dialog,36.3945863668814,ag_news,35.92086132765219,1.01318802004518,True,5
sglang_radix_attention_shadowkv_plus,templated,dolly,36.53091399968129,ag_news,35.92086132765219,1.0169832417564963,True,5
sglang_radix_attention_shadowkv_plus,templated,samsum,38.28855568916413,ag_news,35.92086132765219,1.065914186742768,True,5
sglang_radix_attention_shadowkv_plus,templated,xsum,45.26552301645522,ag_news,35.92086132765219,1.2601458134192742,True,5
sglang_radix_attention_shadowkv_plus,templated,banking77,21.426491029700024,ag_news,22.510385929422227,0.9518491196410144,False,4
sglang_radix_attention_shadowkv_plus,templated,alpaca_eval,24.159472592827356,ag_news,22.510385929422227,1.0732589245060293,False,4
sglang_radix_attention_shadowkv_plus,templated,oasst1,24.32799400962608,ag_news,22.510385929422227,1.0807453095607813,False,4
sglang_radix_attention_shadowkv_plus,templated,ultrachat,26.069993026616565,ag_news,22.510385929422227,1.1581317667477993,False,4
sglang_radix_attention_shadowkv_plus,templated,cnn_dailymail,27.008723840970436,ag_news,22.510385929422227,1.1998338867068756,False,4
lmcache_no_native_radix,rag,ag_news,37.8034825999445,ag_news,37.8034825999445,1.0,True,5
lmcache_no_native_radix,rag,daily_dialog,39.35437583113526,ag_news,37.8034825999445,1.0410251417204888,True,5
lmcache_no_native_radix,rag,dolly,39.45762185721833,ag_news,37.8034825999445,1.043756266447162,True,5
lmcache_no_native_radix,rag,samsum,42.25720958368886,ag_news,37.8034825999445,1.1178126108347197,True,5
lmcache_no_native_radix,rag,xsum,51.01704857449173,ag_news,37.8034825999445,1.3495330341487275,True,5
lmcache_no_native_radix,rag,banking77,67.8587206788977,ag_news,37.8034825999445,1.7950388697521038,False,5
lmcache_no_native_radix,rag,alpaca_eval,77.67975228538138,ag_news,37.8034825999445,2.054830585515828,False,5
lmcache_no_native_radix,rag,oasst1,78.57304840166964,ag_news,37.8034825999445,2.0784605808192125,False,5
lmcache_no_native_radix,rag,ultrachat,83.41097800753515,ag_news,37.8034825999445,2.2064363458317358,False,5
lmcache_no_native_radix,rag,cnn_dailymail,90.58799381252405,ag_news,37.8034825999445,2.39628699744867,False,5
lmcache_no_native_radix,templated,ag_news,37.69780825693185,ag_news,37.69780825693185,1.0,True,5
lmcache_no_native_radix,templated,daily_dialog,38.94357006129212,ag_news,37.69780825693185,1.0330460008674696,True,5
lmcache_no_native_radix,templated,dolly,39.175369560234685,ag_news,37.69780825693185,1.0391948861650635,True,5
lmcache_no_native_radix,templated,samsum,41.951723292277165,ag_news,37.69780825693185,1.1128425028413451,True,5
lmcache_no_native_radix,templated,xsum,50.45984119581893,ag_news,37.69780825693185,1.33853514379156,True,5
lmcache_no_native_radix,templated,banking77,67.70247546057341,ag_news,37.69780825693185,1.7959260389660536,False,5
lmcache_no_native_radix,templated,alpaca_eval,77.36088006589304,ag_news,37.69780825693185,2.0521320374552006,False,5
lmcache_no_native_radix,templated,oasst1,78.38562133677276,ag_news,37.69780825693185,2.0793150838513075,False,5
lmcache_no_native_radix,templated,ultrachat,83.24286141702237,ag_news,37.69780825693185,2.208161833963271,False,5
lmcache_no_native_radix,templated,cnn_dailymail,89.9353330680332,ag_news,37.69780825693185,2.385691296827474,False,5
