         211833 function calls (211493 primitive calls) in 0.546 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      158    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:209(_append_policy_trace)
       16    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\prefix_gate.py:8(transfer_ms_per_token)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       40    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:74(longest_common_prefix_len)
        5    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1766(_should_store_scaffold_on_bypass)
       47    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:328(_is_owned)
      2/1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:975(start)
      178    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:615(is_set)
      2/1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:651(wait)
      100    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
    51/49    0.001    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       34    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\config_loader.py:163(reload_if_changed)
       18    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:215(record_miss)
       46    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:94(estimate_prefill_cost_ms)
      106    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:433(_materialize_cache_for_tier)
      2/1    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:337(wait)
        3    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1731(_should_defer_reactive_store)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
       18    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:87(add_metric)
        3    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:507(_should_store_reactive_prefix)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       92    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        4    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1839(_slice_prefill_kv_to_prefix)
      146    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
